"MMSI","ais_imo","ais_shipname","ais_callsign","vessel_flag_best","vessel_class_best","geartype_best","trip_start","start_port_iso3","start_port_label","trip_start_confidence","trip_duration_days","num_encounters","num_loitering","num_fishing","npg_2026_phase_1","npg_2026_phase_2","vv_url","skylight_IMO","skylight_Vessel.Name","skylight_Flag","skylight_Vessel.Type","skylight_Category","skylight_Gear.Types","skylight_Length..m.","skylight_Skylight.Link","skylight_dark_rendezvous..Phase.1.","skylight_fishing_activity_history..Phase.1.","skylight_standard_rendezvous..Phase.1.","skylight_viirs..Phase.1.","skylight_Total..Phase.1.","skylight_dark_rendezvous..Phase.2.","skylight_fishing_activity_history..Phase.2.","skylight_standard_rendezvous..Phase.2.","skylight_viirs..Phase.2.","skylight_Total..Phase.2.","skylight_Grand.Total","skylight_Area.Presence","skylight_New.Vessel.since.2025..based.on.MMSI.","IHS_GrossTonnage","IHS_LengthOverallLOA.Meters.","IHS_YearOfBuild","IHS_ExName","IHS_PortofRegistry","CountryOfControlName","IHS_GroupBeneficialOwner","IHS_RegisteredOwner","IHS_RegisteredOwnerCountryOfRegistration","IHS_Operator","IHS_ShipManager","IHS_TechnicalManager","Non.Compliance.History..yes...sister.ship.","Type.of.Non.Compliance","Vessel.Non.Compliance.Description","SisterShip.s.Type.of.Non.Compliance","Sister.Ship.Non.Compliance.Description","SisterShipWithNonComplianceConcerns","Sources","phase1_2025","phase2_2025","phase1_2026"
"412420809",NA,"MING XIANG818","BZ5VN","CHN","fishing","squid_jigger",2026-05-28 07:10:29,"CHN","ZOUSHAN",3,3.67,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/0d594db66-6431-ec0c-9eb6-1a165cbacfba?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412420968","8782599","WANXIN32","BZV6U","CHN","fishing","squid_jigger",2026-05-28 23:09:14,"CHN","ZOUSHAN",3,3,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/aaeac977a-ae52-ca95-5c89-5f0d4dcd0b12?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412421003",NA,"NING TAI 83","BZV1Z","CHN","fishing","squid_jigger",2026-05-23 10:28:22,"CHN","ZOUSHAN",3,8.54,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/307a70023-32c3-7e91-f51b-970311327c1b?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412421005",NA,"SHUN XING 16","BZV7Z","CHN","fishing","squid_jigger",2026-05-28 23:21:20,"CHN","ZOUSHAN",3,3,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b57accbca-a9df-10ec-bf00-5f96a8ba3866?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412421012",NA,"XINHAI1207",NA,"CHN","fishing","fishing",2026-05-24 04:05:00,"CHN","ZHOUSHAN",4,7.79,0,1,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f9ef4484f-fde6-d52b-8ca7-6282e14be6dc?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610,0,2016,"","ZHOUSHAN, ZHEJIANG","HONG KONG, CHINA"," ","ZHOUSHAN XINHAI FISHERY CO LTD","CHINA","ZHOUSHAN XINHAI FISHERY CO LTD","ZHOUSHAN XINHAI FISHERY CO LTD"," ","Sister Ship","","","Human Rights / Forced Labor","Indonesian crew on the XIN HAI 1225 had complaints of several ILO forced labor indicators including: abuse of vulnerability, intimidation and threats, deception, restriction of movement, and withholding of wages/debt bondage ","","https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf",TRUE,FALSE,TRUE
"412421017",NA,"ZHOU PU 98","BZV5U","CHN","fishing","squid_jigger",2026-05-28 23:09:45,"CHN","ZHOUSHAN",3,3,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6aa2c1d8d-d686-69d1-fcb0-9af72c36ef72?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412421057",NA,"HUALI28","BZW6G","CHN","fishing","squid_jigger",2026-05-28 22:30:12,"CHN","ZHOUSHAN",3,3.04,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/5b8ef861e-ed15-75e1-561e-0c56a68b79ae?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412422694",NA,"HUAYING817","BZV7K","CHN","fishing","fishing",2026-05-28 22:58:27,"CHN","ZOUSHAN",3,3.04,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7268bf72b-b596-8704-0254-618e48be39c2?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412435469","9872303","OUYA18","BZUU4","CHN","fishing","squid_jigger",2026-05-24 02:23:35,"CHN","ZOUSHAN",3,7.88,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/34200c8e2-2273-d2cc-46ea-ecaf39a11c75?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412439601",NA,"OUYA19","BZ5VZ","CHN","fishing","squid_jigger",2026-05-27 20:15:14,"CHN","DIASHAN",3,4.13,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6f2951ced-dc14-998d-fd81-ec937b83f643?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412440152","8685349","FUYUANYU7633","BZ5UX","CHN","fishing","squid_jigger",2026-05-28 22:30:37,"CHN","ZHOUSHAN",3,3.04,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7226bcebf-f152-921e-2c72-1b89320b2368?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412440154",NA,"HUA YI XIN 11","BZ7UX","CHN","fishing","squid_jigger",2026-05-28 23:43:44,"CHN","ZHOUSHAN",3,3,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/efa3a7631-197c-9577-67b7-96a314bba76c?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412440155","8685375","FU YUAN YU7636","BZ8UX","CHN","fishing","squid_jigger",2026-05-27 09:09:41,"CHN","ZHOUSHAN",3,4.58,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f5705e3a9-9263-55d9-3fcb-28f005176ee4?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412440223",NA,"FUYUANYU667",NA,"CHN","fishing","fishing",2026-05-05 05:02:09,"CHN","QUANZHOU",4,26.75,0,1,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a20e2d588-87eb-b0d1-cf97-5974f7ed46a9?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,830,50.52,2013,"","FUZHOU, FUJIAN","CHINA","HUIAN CHONGWU YONGFENG FISHERY","HUIAN CHONGWU YONGFENG FISHERY","CHINA","HUIAN CHONGWU YONGFENG FISHERY","HUIAN CHONGWU YONGFENG FISHERY"," ","","","","","","","",TRUE,FALSE,TRUE
"412440239","8791734","FU YUAN YU LENG 36","BZU4P","CHN","carrier","carrier",2026-05-23 15:42:07,"KOR","BUSAN",4,8.33,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/9636103ad-dbe9-de76-11d0-5da1f5fa87cf?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2510,85.37,2014,"","FUZHOU, FUJIAN","CHINA, PEOPLE'S REPUBLIC OF","FUJIAN CHANGFENG FISHERY CO","FUJIAN CHANGFENG FISHERY CO","CHINA, PEOPLE'S REPUBLIC OF","FUJIAN CHANGFENG FISHERY CO","FUJIAN CHANGFENG FISHERY CO"," ","Sister Ship","","","IUU","FU YUAN YU 019 IATTC-authorized fishing vessel— retrieving longline gear in the IATTC Convention Area about 400 miles southwest of the Mexican coast. Sea Shepherd witnessed the vessel using metal branch lines running directly from longline floats in violation of a CMM (C-16-05) that prohibits the use of this type of gear, known as shark lines.","[FU YUAN YU 019]","https://media.fisheries.noaa.gov/2021-08/2021ReporttoCongressonImprovingInternationalFisheriesManagement.pdf",FALSE,TRUE,FALSE
"412440242",NA,"FU YUAN YU 659",NA,"CHN","fishing","fishing",2026-05-03 10:50:10,"CHN","QUANZHOU",4,28.54,0,1,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/5d66b6dd1-1ec2-f846-af06-e4fd239be939?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,681,45.1,2013,"","FUZHOU, FUJIAN","CHINA","HUIAN CHONGWU YONGFENG FISHERY","HUIAN CHONGWU YONGFENG FISHERY","CHINA","HUIAN CHONGWU YONGFENG FISHERY","HUIAN CHONGWU YONGFENG FISHERY"," ","","","","","","","",TRUE,FALSE,TRUE
"412440247",NA,NA,NA,"CHN","fishing","fishing",2026-05-06 09:31:04,"CHN","TAIZHOU",4,25.58,0,3,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cf829230a-abd0-0a64-c929-70cfb927e24e?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,857,52.07,2013,"","FUZHOU, FUJIAN","CHINA","FUJIAN WANTONG FISHERY CO LTD","FUJIAN WANTONG FISHERY CO LTD","CHINA","FUJIAN WANTONG FISHERY CO LTD","FUJIAN WANTONG FISHERY CO LTD"," ","","","","","","","",TRUE,FALSE,TRUE
"412440247",NA,NA,NA,"CHN","fishing","fishing",2026-05-06 09:31:04,"CHN","TAIZHOU",4,25.58,0,3,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cf829230a-abd0-0a64-c929-70cfb927e24e?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,857,52.07,2013,"","FUZHOU, FUJIAN","CHINA","FUJIAN WANTONG FISHERY CO LTD","FUJIAN WANTONG FISHERY CO LTD","CHINA","FUJIAN WANTONG FISHERY CO LTD","FUJIAN WANTONG FISHERY CO LTD"," ","","","","","","","",TRUE,FALSE,TRUE
"412440247",NA,NA,NA,"CHN","fishing","fishing",2026-05-06 09:31:04,"CHN","TAIZHOU",4,25.58,0,3,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cf829230a-abd0-0a64-c929-70cfb927e24e?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,857,52.07,2013,"","FUZHOU, FUJIAN","CHINA","FUJIAN WANTONG FISHERY CO LTD","FUJIAN WANTONG FISHERY CO LTD","CHINA","FUJIAN WANTONG FISHERY CO LTD","FUJIAN WANTONG FISHERY CO LTD"," ","","","","","","","",TRUE,FALSE,TRUE
"412440362",NA,"FUYUANYU687",NA,"CHN","fishing","fishing",2026-05-18 08:39:24,"CHN","SHIDAO",3,13.63,0,1,1,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/08978816c-c58b-a66a-fc0f-0201fd7ba0ec?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1137,59.27,2014,"","FUZHOU, FUJIAN","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI"," ","Both","IUU","One of several vessels that had an encounter with the carrier QIAN YUAN in the NPFC area in 2022, after QIAN YUAN had its international fishing license removed by Panama and had been deleted from the NPFC authorised vessel list, which resulted in NPFC IUU listing of the QIAN YUAN in 2023","IUU","Multiple vessels owned by this company had encounters with the carrier QIAN YUAN in the NPFC area in 2022, after QIAN YUAN had its international fishing license removed by Panama and had been deleted from the NPFC authorised vessel list, which resulted in NPFC IUU listing of the QIAN YUAN in 2024","[FU YUAN YU 687, FU YUAN YU 689, FU YUAN YU 688, FU YUAN YU 675, FU YUAN YU 686, FU YUAN YU 678]","JAC Intrep 002b",TRUE,FALSE,TRUE
"412440365","8548589","FU YUAN YU 678","BVLA5","CHN","fishing","fishing",2026-05-02 20:36:07,"CHN","SHIDAO",4,29.13,0,9,3,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8f252d63e-ed74-49b4-853a-9cb9d2aab458?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1128,59.27,2014,"","FUZHOU, FUJIAN","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI"," ","Both","IUU","One of several vessels that had an encounter with the carrier QIAN YUAN in the NPFC area in 2022, after QIAN YUAN had its international fishing license removed by Panama and had been deleted from the NPFC authorised vessel list, which resulted in NPFC IUU listing of the QIAN YUAN in 2023","IUU","Multiple vessels owned by this company had encounters with the carrier QIAN YUAN in the NPFC area in 2022, after QIAN YUAN had its international fishing license removed by Panama and had been deleted from the NPFC authorised vessel list, which resulted in NPFC IUU listing of the QIAN YUAN in 2024","[FU YUAN YU 687, FU YUAN YU 689, FU YUAN YU 688, FU YUAN YU 675, FU YUAN YU 686, FU YUAN YU 678]","JAC Intrep 002b",TRUE,FALSE,TRUE
"412440477",NA,NA,NA,"CHN","fishing","fishing",2026-05-26 22:16:17,"CHN","QUANZHOU",4,5.04,0,1,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/52541587c-c164-cc64-d973-4b44f0fd1777?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1012,62.6,2014,"","FUZHOU, FUJIAN","CHINA","JINXIN OCEAN FISHERY CO LTD","JINXIN OCEAN FISHERY CO LTD","CHINA","JINXIN OCEAN FISHERY CO LTD","JINXIN OCEAN FISHERY CO LTD"," ","Sister Ship","","","Other","FU YUAN YU 082 and FU YUAN YU 085 fished in Russian waters 2022 - 2023","","https://b2p.theoutlawocean.com/vessels/fu-yuan-yu-082",TRUE,FALSE,TRUE
"412440483",NA,"FUYUANYU 661",NA,"CHN","fishing","fishing",2026-05-11 23:43:07,"CHN","QUANZHOU",4,20,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/66b7d47cc-c370-4d97-0367-1da7e0c7d66d?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1126,59.27,2014,"","FUZHOU, FUJIAN","CHINA","XIAMEN YONGXUN OCEANIC","XIAMEN YONGXUN OCEANIC","CHINA","XIAMEN YONGXUN OCEANIC","XIAMEN YONGXUN OCEANIC"," ","Yes","Human Rights / Forced Labor","Dead crew member 01-06-2019. C4ADS internal documents have crew member reports of forced labor and lack of appropriate pay","","","","C4ADS internal source",TRUE,FALSE,TRUE
"412440686",NA,"FU YUAN YU 8678","BZVL8","CHN","fishing","fishing",2026-05-13 12:10:40,"CHN","NINGBO",4,18.46,0,1,3,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/954588171-1158-0702-d267-103aedfc38a6?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1101,0,2018,"","FUZHOU, FUJIAN","CHINA","PINGTAN MARINE ENTERPRISE LTD","FUJIAN PINGTAN COUNTY OCEAN","CHINA","FUJIAN PINGTAN COUNTY OCEAN","FUJIAN PINGTAN COUNTY OCEAN"," ","Both","Sanctions","US OFAC Global Magnitsky Designations for Human Rights Abuses within the fleet","Sanctions","US OFAC Global Magnitsky Designations for Human Rights Abuses within the fleet","","https://home.treasury.gov/news/press-releases/jy1154",TRUE,FALSE,FALSE
"412549134",NA,NA,NA,"CHN","fishing","fishing",2026-05-23 19:44:44,"CHN","SHIDAO",4,8.17,0,1,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/14551b56a-abf3-31f4-efe2-a2f99b09f9e7?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,899,53.98,2019,"","SHIDAO, SHANDONG","CHINA","SHANDONG HIGHRICH FISHERY","SHANDONG HIGHRICH FISHERY","CHINA","SHANDONG HIGHRICH FISHERY","SHANDONG HIGHRICH FISHERY"," ","","","","","","","",TRUE,FALSE,TRUE
"412549161",NA,"SHUN ZE 6","BZU3X","CHN","fishing","squid_jigger",2026-05-28 23:00:34,"CHN","DIASHAN",3,3,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8a2c3ae58-885e-0e7f-7595-5594a57a76a1?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412549164","9907043","HONG PU 31","BZU8W","CHN","fishing","squid_jigger",2026-05-28 19:51:13,"CHN","ZOUSHAN",3,3.17,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7eef9a763-3178-bde9-4de7-05c8a4628360?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412549176",NA,"SHUN ZE 805","BZ4V0","CHN","fishing","fishing",2026-05-20 20:19:48,"CHN","LIUHENG",3,11.13,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/28664623e-e5b3-16a8-14e1-102b2699ee23?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412549183",NA,"ZHOUPU818","BZU5X","CHN","fishing","squid_jigger",2026-05-21 06:03:49,"CHN","ZOUSHAN",3,10.71,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c6e6977ca-a588-1909-3f65-487f205e79cd?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412549192",NA,"JIA DE 56","BZ1UN","CHN","fishing","squid_jigger",2026-05-19 09:37:02,"CHN","ZOUSHAN",3,12.58,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/777b1c2ef-fa06-a629-3d6b-a9291a96a82a?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412549215","9910727","WAN XIN 76","BZ9UG","CHN","fishing","squid_jigger",2026-05-28 08:40:41,"CHN","ZHOUSHAN",3,3.63,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f88ba5afe-e5de-39d0-08f2-c3c1be7cca14?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412549365","9933729","FU YUAN YU 8637","BZ3VR","CHN","fishing","fishing",2026-05-04 10:33:50,"CHN","NINGBO",4,27.54,0,17,18,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b4d874293-3ef4-b50f-9986-e56e676e296e?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1148,66.96,2021,"","FUZHOU, FUJIAN","CHINA"," ","FUZHOU HONGLONG OCEAN FISHING","CHINA","FUZHOU HONGLONG OCEAN FISHING","FUZHOU HONGLONG OCEAN FISHING"," ","Both","Sanctions","US OFAC Global Magnitsky Designations for Human Rights Abuses within the fleet","Sanctions","US OFAC Global Magnitsky Designations for Human Rights Abuses within the fleet","[FU YUAN YU 8698, FU YUAN YU 558, FU YUAN YU 8641, FU YUAN YU 8645, FU YUAN YU 559, FU YUAN YU 8644, FU YUAN YU 005, FU YUAN YU 8647, FU YUAN YU 8653, FU YUAN YU 7866, MIN FUZHOU YU F009, FU YUAN YU YUN 991, FU YUAN YU 557, FU YUAN YU 7888, FU YUAN YU 8639, FU YUAN YU YUN 993, FU YUAN YU 8638, FU YUAN YU 8648, FU YUAN YU 7902, FU YUAN YU 7865, FU YUAN YU 8654, FU YUAN YU 8646, FU YUAN YU 8695, FU YUAN YU F91, FU YUAN YU 8652, FU YUAN YU 7889, FU YUAN YU 8651, FU YUAN YU 8650, FU YUAN YU 8661, HUALCOPO, FU YUAN YU F30, FU YUAN YU 8697, FU YUAN YU 8642, FU YUAN YU 8640, FU YUAN YU 8637, FU YUAN YU 8696, FU YUAN YU 8662, FU YUAN YU 008, FU YUAN YU 8635, FU YUAN YU 7900, FU YUAN YU 8660, FU YUAN YU 8649, FU YUAN YU 8643, FU YUAN YU 8636, FU YUAN YU 7901]","https://home.treasury.gov/news/press-releases/jy1154",TRUE,FALSE,FALSE
"412549551","8786583","HAN YI 15","BCLN4","CHN","fishing","squid_jigger",2026-05-26 10:01:32,"CHN","ZOUSHAN",3,5.54,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/446ee2cca-a9c1-972f-ce76-e8986a421de2?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412549555",NA,"HANYI 706","BCFD2","CHN","fishing","squid_jigger",2026-05-28 10:05:11,"CHN","LIUHENG",3,3.54,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6769e6cda-ae3b-3b3d-4db1-2fd710f54ef2?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
