"MMSI","ais_imo","ais_shipname","ais_callsign","vessel_flag_best","vessel_class_best","geartype_best","trip_start","start_port_iso3","start_port_label","trip_start_confidence","trip_duration_days","num_encounters","num_loitering","num_fishing","npg_2026_phase_1","npg_2026_phase_2","vv_url","skylight_IMO","skylight_Name","skylight_Skylight.Link","skylight_dark_rendezvous","skylight_eo_landsat_8_9","skylight_fishing_activity_history","skylight_standard_rendezvous","skylight_viirs","IHS_GrossTonnage","IHS_LengthOverallLOA.Meters.","IHS_YearOfBuild","IHS_ExName","IHS_PortofRegistry","CountryOfControlName","IHS_GroupBeneficialOwner","IHS_RegisteredOwner","IHS_RegisteredOwnerCountryOfRegistration","IHS_Operator","IHS_ShipManager","IHS_TechnicalManager","Non.Compliance.History..yes...sister.ship.","Type.of.Non.Compliance","Vessel.Non.Compliance.Description","SisterShip.s.Type.of.Non.Compliance","Sister.Ship.Non.Compliance.Description","SisterShipWithNonComplianceConcerns","Sources","phase1_2025","phase2_2025","inital_list_2026"
"412549509","9930870","FU YUAN YU 7010","BZU4D","CHN","fishing","fishing",2026-03-29 07:50:39,"CHN","SHIDAO",4,63.67,0,36,60,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/669489d81-1c77-0e31-7b1e-41069a47ab3e?&start=2026-04-30&end=2026-06-02"")",9930870,"FU YUAN YU 7010","https://app.skylight.earth/vesseldetails/412549509?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z",0,0,4,0,0,1596,71.3,2021,"","FUZHOU, FUJIAN","CHINA","FUJIAN CHANGFENG FISHERY CO","FUJIAN CHANGFENG FISHERY CO","CHINA","FUJIAN CHANGFENG FISHERY CO","FUJIAN CHANGFENG FISHERY CO"," ","Sister Ship","","","IUU","FU YUAN YU 019 IATTC-authorized fishing vessel— retrieving longline gear in the IATTC Convention Area about 400 miles southwest of the Mexican coast. Sea Shepherd witnessed the vessel using metal branch lines running directly from longline floats in violation of a CMM (C-16-05) that prohibits the use of this type of gear, known as shark lines.","[FU YUAN YU 019]","https://media.fisheries.noaa.gov/2021-08/2021ReporttoCongressonImprovingInternationalFisheriesManagement.pdf",TRUE,FALSE,TRUE
"412549511","9930882","FU YUAN YU 7011","BZU5D","CHN","fishing","fishing",2026-03-29 07:44:01,"CHN","SHIDAO",4,63.67,0,40,60,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/4cf88a58e-ea57-81fb-1df7-bf9bb0c23453?&start=2026-04-30&end=2026-06-02"")",9930882,"FU YUAN YU 7011","https://app.skylight.earth/vesseldetails/412549511?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z",0,0,3,0,0,1596,71.3,2021,"","FUZHOU, FUJIAN","CHINA","FUJIAN CHANGFENG FISHERY CO","FUJIAN CHANGFENG FISHERY CO","CHINA","FUJIAN CHANGFENG FISHERY CO","FUJIAN CHANGFENG FISHERY CO"," ","Sister Ship","","","IUU","FU YUAN YU 019 IATTC-authorized fishing vessel— retrieving longline gear in the IATTC Convention Area about 400 miles southwest of the Mexican coast. Sea Shepherd witnessed the vessel using metal branch lines running directly from longline floats in violation of a CMM (C-16-05) that prohibits the use of this type of gear, known as shark lines.","[FU YUAN YU 019]","https://media.fisheries.noaa.gov/2021-08/2021ReporttoCongressonImprovingInternationalFisheriesManagement.pdf",TRUE,FALSE,TRUE
"412549512","9930894","FU YUAN YU 7012","BZU6D","CHN","fishing","fishing",2026-03-29 07:48:09,"CHN","SHIDAO",4,63.67,0,38,57,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e926d3ad6-6ace-207a-0c55-1d6dabeb28ad?&start=2026-04-30&end=2026-06-02"")",9930894,"FU YUAN YU 7012","https://app.skylight.earth/vesseldetails/412549512?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z",0,0,1,0,0,1596,71.3,2021,"","FUZHOU, FUJIAN","CHINA","FUJIAN CHANGFENG FISHERY CO","FUJIAN CHANGFENG FISHERY CO","CHINA","FUJIAN CHANGFENG FISHERY CO","FUJIAN CHANGFENG FISHERY CO"," ","Sister Ship","","","IUU","FU YUAN YU 019 IATTC-authorized fishing vessel— retrieving longline gear in the IATTC Convention Area about 400 miles southwest of the Mexican coast. Sea Shepherd witnessed the vessel using metal branch lines running directly from longline floats in violation of a CMM (C-16-05) that prohibits the use of this type of gear, known as shark lines.","[FU YUAN YU 019]","https://media.fisheries.noaa.gov/2021-08/2021ReporttoCongressonImprovingInternationalFisheriesManagement.pdf",TRUE,FALSE,TRUE
"412549551","8786583","HAN YI 15","BCLN4","CHN","fishing","fishing",2026-05-26 10:01:32,"CHN","ZOUSHAN",3,5.54,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/446ee2cca-a9c1-972f-ce76-e8986a421de2?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412549555",NA,"HANYI 706","BCFD2","CHN","fishing","fishing",2026-05-30 22:08:11,"CHN","LIUHENG",3,1.04,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6769e6cda-ae3b-3b3d-4db1-2fd710f54ef2?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412549569","1033274","ZHOU YU 961","BZYW","CHN","fishing","fishing",2026-04-22 07:41:29,"CHN","ZHOUSHAN",4,39.67,0,24,30,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/12c7004e3-346b-f730-d6e6-3cc53296b4ba?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,349,44.8,2023,"LU YAN YUAN YU 621","ZHOUSHAN, ZHEJIANG","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","Sister Ship","","","Multiple","ZHOU YU 929 refused to allow an at sea inspection by a US Coast Guard vessel in the SPRFMO convetion area close to the Galapagos islands in 2022. A motion was made to add this vessel and another China flagged vessel to the SPRFMO IUU list but this was blocked by China. Multiple vessels in fleet have a history of AIS spoofing and transmission gaps. Reports of forced labor on the ZHOU YU 901 and 905. ","[ZHOU YU 906, ZHOU YU 972, ZHOU YU 921, ZHOU YU 905, ZHOU YU 908, ZHOU YU 903, MING TAI, ZHOU YU 909, ZHOU YU 922, ZHOU YU 929, ZHOU YU 8, FENG HUI 9, ZHOU YU 902, ZHOU YU 901, MING HUA, ZHOU YU 916, MING WANG, ZHOU YU 970]","https://www.seafoodsource.com/news/premium/environment-sustainability/china-blocks-sprfmo-from-placing-two-of-its-vessels-on-iuu-blacklist 
JAC Intrep 005 
https://www.undercurrentnews.com/2024/07/05/nearly-70-chinese-vessels-have-entered-peruvian-waters-in-2024/#comments
https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
https://b2p.theoutlawocean.com/vessels/zhou-yu-921
",TRUE,FALSE,TRUE
"412549571","1033315","ZHOU YU 962","BZYJ","CHN","fishing","squid_jigger",2026-04-22 07:46:57,"CHN","ZHOUSHAN",4,39.67,0,31,27,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1e239f330-0430-689a-6d1a-dcb022de003a?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,349,44.8,2023,"LU YAN YUAN YU 622","ZHOUSHAN, ZHEJIANG","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","Sister Ship","","","Multiple","ZHOU YU 929 refused to allow an at sea inspection by a US Coast Guard vessel in the SPRFMO convetion area close to the Galapagos islands in 2022. A motion was made to add this vessel and another China flagged vessel to the SPRFMO IUU list but this was blocked by China. Multiple vessels in fleet have a history of AIS spoofing and transmission gaps. Reports of forced labor on the ZHOU YU 901 and 905. ","[ZHOU YU 906, ZHOU YU 972, ZHOU YU 921, ZHOU YU 905, ZHOU YU 908, ZHOU YU 903, MING TAI, ZHOU YU 909, ZHOU YU 922, ZHOU YU 929, ZHOU YU 8, FENG HUI 9, ZHOU YU 902, ZHOU YU 901, MING HUA, ZHOU YU 916, MING WANG, ZHOU YU 970]","https://www.seafoodsource.com/news/premium/environment-sustainability/china-blocks-sprfmo-from-placing-two-of-its-vessels-on-iuu-blacklist 
JAC Intrep 005 
https://www.undercurrentnews.com/2024/07/05/nearly-70-chinese-vessels-have-entered-peruvian-waters-in-2024/#comments
https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
https://b2p.theoutlawocean.com/vessels/zhou-yu-921
",TRUE,FALSE,TRUE
"412549572","1033327","ZHOU YU 965","BZZG5","CHN","fishing","fishing",2026-04-22 07:38:56,"CHN","ZHOUSHAN",4,39.67,0,24,21,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/81ab1db66-606a-c22b-11c3-2929172bf9ab?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,349,44.8,2023,"LU YAN YUAN YU 626","ZHOUSHAN, ZHEJIANG","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","Sister Ship","","","Multiple","ZHOU YU 929 refused to allow an at sea inspection by a US Coast Guard vessel in the SPRFMO convetion area close to the Galapagos islands in 2022. A motion was made to add this vessel and another China flagged vessel to the SPRFMO IUU list but this was blocked by China. Multiple vessels in fleet have a history of AIS spoofing and transmission gaps. Reports of forced labor on the ZHOU YU 901 and 905. ","[ZHOU YU 906, ZHOU YU 972, ZHOU YU 921, ZHOU YU 905, ZHOU YU 908, ZHOU YU 903, MING TAI, ZHOU YU 909, ZHOU YU 922, ZHOU YU 929, ZHOU YU 8, FENG HUI 9, ZHOU YU 902, ZHOU YU 901, MING HUA, ZHOU YU 916, MING WANG, ZHOU YU 970]","https://www.seafoodsource.com/news/premium/environment-sustainability/china-blocks-sprfmo-from-placing-two-of-its-vessels-on-iuu-blacklist 
JAC Intrep 005 
https://www.undercurrentnews.com/2024/07/05/nearly-70-chinese-vessels-have-entered-peruvian-waters-in-2024/#comments
https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
https://b2p.theoutlawocean.com/vessels/zhou-yu-921
",TRUE,FALSE,TRUE
"412549573","1033212","ZHOU YU 960","BZSD","CHN","fishing","fishing",2026-04-22 07:43:44,"CHN","ZHOUSHAN",4,39.67,0,24,26,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/646547279-9d22-cf21-46f5-2aa1cfe15e79?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,349,44.8,2023,"LU YAN YUAN YU 620","ZHOUSHAN, ZHEJIANG","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","Sister Ship","","","Multiple","ZHOU YU 929 refused to allow an at sea inspection by a US Coast Guard vessel in the SPRFMO convetion area close to the Galapagos islands in 2022. A motion was made to add this vessel and another China flagged vessel to the SPRFMO IUU list but this was blocked by China. Multiple vessels in fleet have a history of AIS spoofing and transmission gaps. Reports of forced labor on the ZHOU YU 901 and 905. ","[ZHOU YU 906, ZHOU YU 972, ZHOU YU 921, ZHOU YU 905, ZHOU YU 908, ZHOU YU 903, MING TAI, ZHOU YU 909, ZHOU YU 922, ZHOU YU 929, ZHOU YU 8, FENG HUI 9, ZHOU YU 902, ZHOU YU 901, MING HUA, ZHOU YU 916, MING WANG, ZHOU YU 970]","https://www.seafoodsource.com/news/premium/environment-sustainability/china-blocks-sprfmo-from-placing-two-of-its-vessels-on-iuu-blacklist 
JAC Intrep 005 
https://www.undercurrentnews.com/2024/07/05/nearly-70-chinese-vessels-have-entered-peruvian-waters-in-2024/#comments
https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
https://b2p.theoutlawocean.com/vessels/zhou-yu-921
",TRUE,FALSE,TRUE
"412549575","1033339","ZHOU YU 966","BZZG6","CHN","fishing","fishing",2026-04-22 07:37:02,"CHN","ZHOUSHAN",4,39.67,0,38,27,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1370d428f-f8ca-9b7d-305d-cbfc4e4b6a08?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,349,44.8,2023,"LU YAN YUAN YU 627","ZHOUSHAN, ZHEJIANG","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS"," ","Sister Ship","","","Multiple","ZHOU YU 929 refused to allow an at sea inspection by a US Coast Guard vessel in the SPRFMO convetion area close to the Galapagos islands in 2022. A motion was made to add this vessel and another China flagged vessel to the SPRFMO IUU list but this was blocked by China. Multiple vessels in fleet have a history of AIS spoofing and transmission gaps. Reports of forced labor on the ZHOU YU 901 and 905. ","[ZHOU YU 906, ZHOU YU 972, ZHOU YU 921, ZHOU YU 905, ZHOU YU 908, ZHOU YU 903, MING TAI, ZHOU YU 909, ZHOU YU 922, ZHOU YU 929, ZHOU YU 8, FENG HUI 9, ZHOU YU 902, ZHOU YU 901, MING HUA, ZHOU YU 916, MING WANG, ZHOU YU 970]","https://www.seafoodsource.com/news/premium/environment-sustainability/china-blocks-sprfmo-from-placing-two-of-its-vessels-on-iuu-blacklist 
JAC Intrep 005 
https://www.undercurrentnews.com/2024/07/05/nearly-70-chinese-vessels-have-entered-peruvian-waters-in-2024/#comments
https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
https://b2p.theoutlawocean.com/vessels/zhou-yu-921
",TRUE,FALSE,TRUE
"412549576","1033341","ZHOU YU 967","BZZG7","CHN","fishing","fishing",2026-04-22 07:31:15,"CHN","ZHOUSHAN",4,39.67,0,25,30,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/df3721930-0f82-a984-06b5-8af92e5f8114?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,349,44.8,2023,"LU YAN YUAN YU 628","ZHOUSHAN, ZHEJIANG","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS"," ","Sister Ship","","","Multiple","ZHOU YU 929 refused to allow an at sea inspection by a US Coast Guard vessel in the SPRFMO convetion area close to the Galapagos islands in 2022. A motion was made to add this vessel and another China flagged vessel to the SPRFMO IUU list but this was blocked by China. Multiple vessels in fleet have a history of AIS spoofing and transmission gaps. Reports of forced labor on the ZHOU YU 901 and 905. ","[ZHOU YU 906, ZHOU YU 972, ZHOU YU 921, ZHOU YU 905, ZHOU YU 908, ZHOU YU 903, MING TAI, ZHOU YU 909, ZHOU YU 922, ZHOU YU 929, ZHOU YU 8, FENG HUI 9, ZHOU YU 902, ZHOU YU 901, MING HUA, ZHOU YU 916, MING WANG, ZHOU YU 970]","https://www.seafoodsource.com/news/premium/environment-sustainability/china-blocks-sprfmo-from-placing-two-of-its-vessels-on-iuu-blacklist 
JAC Intrep 005 
https://www.undercurrentnews.com/2024/07/05/nearly-70-chinese-vessels-have-entered-peruvian-waters-in-2024/#comments
https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
https://b2p.theoutlawocean.com/vessels/zhou-yu-921
",TRUE,FALSE,TRUE
"412549577","1033353","ZHOUYU968","BZZG8","CHN","fishing","fishing",2026-04-22 08:46:15,"CHN","ZHOUSHAN",4,39.63,0,32,31,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/42f567cf2-2324-6ba1-ab5f-3a8fae34e330?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,349,44.8,2023,"LU YAN YUAN YU 629","ZHOUSHAN, ZHEJIANG","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS"," ","Sister Ship","","","Multiple","ZHOU YU 929 refused to allow an at sea inspection by a US Coast Guard vessel in the SPRFMO convetion area close to the Galapagos islands in 2022. A motion was made to add this vessel and another China flagged vessel to the SPRFMO IUU list but this was blocked by China. Multiple vessels in fleet have a history of AIS spoofing and transmission gaps. Reports of forced labor on the ZHOU YU 901 and 905. ","[ZHOU YU 906, ZHOU YU 972, ZHOU YU 921, ZHOU YU 905, ZHOU YU 908, ZHOU YU 903, MING TAI, ZHOU YU 909, ZHOU YU 922, ZHOU YU 929, ZHOU YU 8, FENG HUI 9, ZHOU YU 902, ZHOU YU 901, MING HUA, ZHOU YU 916, MING WANG, ZHOU YU 970]","https://www.seafoodsource.com/news/premium/environment-sustainability/china-blocks-sprfmo-from-placing-two-of-its-vessels-on-iuu-blacklist 
JAC Intrep 005 
https://www.undercurrentnews.com/2024/07/05/nearly-70-chinese-vessels-have-entered-peruvian-waters-in-2024/#comments
https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
https://b2p.theoutlawocean.com/vessels/zhou-yu-921
",TRUE,FALSE,TRUE
"412549591","1019216","ZHOUYU956","BZZJ6","CHN","fishing","squid_jigger",2026-05-24 09:52:39,"CHN","ZHOUSHAN",3,7.58,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ae64778dc-c0a9-7074-76f0-673ec33d3b09?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412549592","1019228","ZHOUYU957","BZZJ7","CHN","fishing","squid_jigger",2026-05-30 07:00:38,"CHN","ZHOUSHAN",3,1.67,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1303de981-1c4e-c492-b248-1373c4db76c6?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412549593","1019230","ZHOUYU958","BZZJ8","CHN","fishing","fishing",2026-05-30 10:48:25,"CHN","ZHOUSHAN",3,1.54,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2675c328c-cdc6-b440-9613-4e88fde0ee4e?&start=2026-04-30&end=2026-06-02"")",1019230,"ZHOUYU958","https://app.skylight.earth/vesseldetails/412549593?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412549595","1019242","ZHOUYU959","BZZJ9","CHN","fishing","fishing",2026-05-23 22:33:12,"CHN","ZHOUSHAN",3,8.04,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/d25ccb5ee-e179-44b5-8fa8-c1e4b8496b8c?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412549596","1064704","RUN DA 816","BZ6UG","CHN","fishing","fishing",2026-05-28 02:08:43,"CHN","ZHOUSHAN",3,3.88,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e9d6f84c4-408b-5c5e-feab-3846fc0546d3?&start=2026-04-30&end=2026-06-02"")",1064704,"RUN DA 816","https://app.skylight.earth/vesseldetails/412549596?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412549599","1046520","ZHOU YU 937","BZVF7","CHN","fishing","fishing",2026-04-22 08:05:03,"CHN","ZHOUSHAN",4,39.63,0,32,27,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/aab370ce6-656c-8836-d642-6e65a2503a2b?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,349,44.8,2024,"","ZHOUSHAN, ZHEJIANG","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS"," ","Sister Ship","","","Multiple","ZHOU YU 929 refused to allow an at sea inspection by a US Coast Guard vessel in the SPRFMO convetion area close to the Galapagos islands in 2022. A motion was made to add this vessel and another China flagged vessel to the SPRFMO IUU list but this was blocked by China. Multiple vessels in fleet have a history of AIS spoofing and transmission gaps. Reports of forced labor on the ZHOU YU 901 and 905. ","","https://www.seafoodsource.com/news/premium/environment-sustainability/china-blocks-sprfmo-from-placing-two-of-its-vessels-on-iuu-blacklist 
JAC Intrep 005 
https://www.undercurrentnews.com/2024/07/05/nearly-70-chinese-vessels-have-entered-peruvian-waters-in-2024/#comments
https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
https://b2p.theoutlawocean.com/vessels/zhou-yu-921
",TRUE,FALSE,TRUE
"412549601","1046532","ZHOUYU938","BZVF8","CHN","fishing","fishing",2026-04-22 08:31:53,"CHN","ZHOUSHAN",4,39.63,0,27,37,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/55a6ab640-0147-536b-157b-3b7586c1916f?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,349,44.8,2024,"","ZHOUSHAN, ZHEJIANG","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS"," ","Sister Ship","","","Multiple","ZHOU YU 929 refused to allow an at sea inspection by a US Coast Guard vessel in the SPRFMO convetion area close to the Galapagos islands in 2022. A motion was made to add this vessel and another China flagged vessel to the SPRFMO IUU list but this was blocked by China. Multiple vessels in fleet have a history of AIS spoofing and transmission gaps. Reports of forced labor on the ZHOU YU 901 and 905. ","","https://www.seafoodsource.com/news/premium/environment-sustainability/china-blocks-sprfmo-from-placing-two-of-its-vessels-on-iuu-blacklist 
JAC Intrep 005 
https://www.undercurrentnews.com/2024/07/05/nearly-70-chinese-vessels-have-entered-peruvian-waters-in-2024/#comments
https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
https://b2p.theoutlawocean.com/vessels/zhou-yu-921
",TRUE,FALSE,TRUE
"412549671","1103574","ZHOU YU 939","BKUL","CHN","fishing","fishing",2026-04-22 08:25:41,"CHN","ZHOUSHAN",4,39.63,0,33,28,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/aea700663-3908-b61f-72e7-58522264c30f?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,346,44.8,2025,"","ZHOUSHAN, ZHEJIANG","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","Sister Ship","","","Multiple","ZHOU YU 929 refused to allow an at sea inspection by a US Coast Guard vessel in the SPRFMO convetion area close to the Galapagos islands in 2022. A motion was made to add this vessel and another China flagged vessel to the SPRFMO IUU list but this was blocked by China. Multiple vessels in fleet have a history of AIS spoofing and transmission gaps. Reports of forced labor on the ZHOU YU 901 and 905. ","","https://www.seafoodsource.com/news/premium/environment-sustainability/china-blocks-sprfmo-from-placing-two-of-its-vessels-on-iuu-blacklist 
JAC Intrep 005 
https://www.undercurrentnews.com/2024/07/05/nearly-70-chinese-vessels-have-entered-peruvian-waters-in-2024/#comments
https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
https://b2p.theoutlawocean.com/vessels/zhou-yu-921
",TRUE,FALSE,TRUE
"412549672","1103586","ZHOU YU 940","BKUM","CHN","fishing","fishing",2026-04-22 07:29:54,"CHN","ZHOUSHAN",3,39.67,0,31,41,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/99ad078e4-4d51-70c7-d630-a8e72b0f6c9c?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,346,44.8,2025,"","ZHOUSHAN, ZHEJIANG","CHINA, PEOPLE'S REPUBLIC OF","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","CHINA, PEOPLE'S REPUBLIC OF","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","Sister Ship","","","Multiple","ZHOU YU 929 refused to allow an at sea inspection by a US Coast Guard vessel in the SPRFMO convetion area close to the Galapagos islands in 2022. A motion was made to add this vessel and another China flagged vessel to the SPRFMO IUU list but this was blocked by China. Multiple vessels in fleet have a history of AIS spoofing and transmission gaps. Reports of forced labor on the ZHOU YU 901 and 905. ","[ZHOU YU 906, ZHOU YU 972, ZHOU YU 921, ZHOU YU 905, ZHOU YU 908, ZHOU YU 903, MING TAI, ZHOU YU 909, ZHOU YU 922, ZHOU YU 929, ZHOU YU 8, FENG HUI 9, ZHOU YU 902, ZHOU YU 901, MING HUA, ZHOU YU 916, MING WANG, ZHOU YU 970]","https://www.seafoodsource.com/news/premium/environment-sustainability/china-blocks-sprfmo-from-placing-two-of-its-vessels-on-iuu-blacklist 
https://www.undercurrentnews.com/2024/07/05/nearly-70-chinese-vessels-have-entered-peruvian-waters-in-2024/#comments
https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
https://b2p.theoutlawocean.com/vessels/zhou-yu-921
",FALSE,TRUE,TRUE
