DFO_VOI,shipname,possible_shipname,MMSI,IMO,call_sign,possible_callsign,past_ship_name,Vessel_flag,Vessel_type,Geartype,gross_tonnage,year_of_build,length_overall_meters,highest_responsible_party,group_beneficial_owner,country_of_control_highest_responsible_party_,registered_owner,doc_company,ship_manager,technical_manager,pandi_club,port_of_registry,operator,imo_in_fleet_vessel_with_iuuderog,mmsi_in_fleet_vessel_with_iuuderog,in_fleet_vessel_with_iuuderog,risk_indicator,description,Allegation / Indicator,Source
TRUE,XINHAI1201,[XINHAI1201],412420954,,BZV2S,[BZV2S],ZHE PU YU 12809,CHN,FISHING,FISHING,480,2011,0,ZHOUSHAN XINHAI FISHERY CO LTD,,"CHINA, PEOPLE'S REPUBLIC OF",ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHOUSHAN XINHAI FISHERY CO LTD,,,,,,,
TRUE,XINHAI1202,[XINHAI1202],412420956,,BZV3S,[BZV3S],ZHE PU YU 12807,CHN,FISHING,FISHING,479,2012,0,ZHOUSHAN XINHAI FISHERY CO LTD,,"CHINA, PEOPLE'S REPUBLIC OF",ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHOUSHAN XINHAI FISHERY CO LTD,,,,,,,
TRUE,XIN HAI 1206,[XIN HAI 1206],412421008,,BZV4Z,[BZV4Z],,CHN,FISHING,FISHING,610,2016,0,ZHOUSHAN XINHAI FISHERY CO LTD,,"CHINA, PEOPLE'S REPUBLIC OF",ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHOUSHAN XINHAI FISHERY CO LTD,,,,,,,
TRUE,XINHAI1205,[XINHAI1205],412421009,,BZV3Z,[BZV3Z],,CHN,FISHING,FISHING,610,2016,0,ZHOUSHAN XINHAI FISHERY CO LTD,,"CHINA, PEOPLE'S REPUBLIC OF",ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHOUSHAN XINHAI FISHERY CO LTD,,,,,,,
TRUE,XIN HAI 1208,[XIN HAI 1208],412421011,,,"[12222, BZV6Z]",,CHN,FISHING,FISHING,610,2016,0,ZHOUSHAN XINHAI FISHERY CO LTD,,"CHINA, PEOPLE'S REPUBLIC OF",ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHOUSHAN XINHAI FISHERY CO LTD,,,,,,,
TRUE,XINHAI1207,[XINHAI1207],412421012,,,[BZV5Z],,CHN,FISHING,FISHING,610,2016,0,ZHOUSHAN XINHAI FISHERY CO LTD,,"CHINA, PEOPLE'S REPUBLIC OF",ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHOUSHAN XINHAI FISHERY CO LTD,,,,,,,
TRUE,XIN HAI 1225,[XIN HAI 1225],412421035,,BZW8E,[BZW8E],ZHE PU YU 12888,CHN,FISHING,FISHING,611,2011,0,ZHOUSHAN XINHAI FISHERY CO LTD,,"CHINA, PEOPLE'S REPUBLIC OF",ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHOUSHAN XINHAI FISHERY CO LTD,,,,THIS VESSEL HAS IUU/DEROG REPORTS,"Greenpeace claims that several forced labor conditions took place onboard the vessel, including",HUMAN RIGHTS ABUSE,https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
TRUE,XINHAI1227,"[XIN HAI 1227, XINHAI1227]",412421036,8786820,BZW9E,[BZW9E],ZHE PU YU 82222,CHN,FISHING,FISHING,515,2012,0,ZHOUSHAN XINHAI FISHERY CO LTD,,"CHINA, PEOPLE'S REPUBLIC OF",ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHOUSHAN XINHAI FISHERY CO LTD,,,,,,,
TRUE,XIN HAI 1273,[XIN HAI 1273],412421075,,BZW5L,[BZW5L],ZHE PU YU 80016,CHN,FISHING,FISHING,706,2012,0,ZHOUSHAN XINHAI FISHERY CO LTD,,"CHINA, PEOPLE'S REPUBLIC OF",ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHOUSHAN XINHAI FISHERY CO LTD,,,,,,,
TRUE,XINHAI1235,"[XIN HAI 1235, XINHAI1235]",412421076,8788062,9758,"[9758, BZW4L]",ZHE PU YU 32397,CHN,FISHING,FISHING,706,2012,0,ZHOUSHAN XINHAI FISHERY CO LTD,,"CHINA, PEOPLE'S REPUBLIC OF",ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHOUSHAN XINHAI FISHERY CO LTD,,,,,,,
FALSE,ZHONG JU LENG1,[ZHONG JU LENG1],412421078,9829435,BZW6L,[BZW6L],ZHONG JU LENG 1,CHN,CARRIER,CARRIER,4732,2016,0,ZHOUSHAN MINGZHOU OCEAN,ZHOUSHAN MINGZHOU OCEAN,"CHINA, PEOPLE'S REPUBLIC OF",ZHOUSHAN MINGZHOU OCEAN,UNKNOWN,ZHOUSHAN MINGZHOU OCEAN,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHOUSHAN MINGZHOU OCEAN,8774932,412420461,ZHE PU YUAN 68,VESSEL IN OWNERSHIP FLEET HAS IUU/DEROG REPORTS,history of large transmission gaps,DARK ACTIVITY,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/zhe-pu-yuan-68/
FALSE,MINGXIANG808,[MINGXIANG808],412421168,,BZUM2,[BZUM2],,CHN,FISHING,FISHING,728,2018,53,ZHOUSHAN MINGXIANG MARINE FISH,ZHOUSHAN MINGXIANG MARINE FISH,"CHINA, PEOPLE'S REPUBLIC OF",ZHOUSHAN MINGXIANG MARINE FISH,UNKNOWN,ZHOUSHAN MINGXIANG MARINE FISH,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHOUSHAN MINGXIANG MARINE FISH,9865489,,MING XIANG 828,THIS VESSEL HAS IUU/DEROG REPORTS,Fourteen crew members on board the Ming Xiang 808 alleged non-payment of wages and brought allegations to Indonesian embassy in Lima. The embassy planned to repatriate crew members.,HUMAN RIGHTS ABUSE,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/ming-xiang-808/
FALSE,HUA YING 803,[HUA YING 803],412422706,,BZV3K,[BZV3K],,CHN,FISHING,SQUID_JIGGER,487,2013,0,ZHOUSHAN HUAYING OCEAN,,"CHINA, PEOPLE'S REPUBLIC OF",ZHOUSHAN HUAYING OCEAN,UNKNOWN,ZHOUSHAN HUAYING OCEAN,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHOUSHAN HUAYING OCEAN,,,,THIS VESSEL HAS IUU/DEROG REPORTS,"One of the fishing vessels that was detected in an encounter with the bunker vessel GLORIWAVE (now RIWA) during its period of unauthorised operations in the NPFC area, as a result of which GLORIWAVE was IUU listed by NPFC",DARK ACTIVITY,JAC Internal document
FALSE,OU YA 28,[OU YA 28],412439598,8782989,BZ7VZ,[BZ7VZ],,CHN,FISHING,SQUID_JIGGER,1596,2013,0,NINGBO EURASIAN OCEAN FISHERY,,"CHINA, PEOPLE'S REPUBLIC OF",NINGBO EURASIAN OCEAN FISHERY,UNKNOWN,NINGBO EURASIAN OCEAN FISHERY,UNKNOWN,UNKNOWN,"NINGBO, ZHEJIANG",NINGBO EURASIAN OCEAN FISHERY,9872298,,OU YA 17,THIS VESSEL HAS IUU/DEROG REPORTS,history of large transmission gaps,DARK ACTIVITY,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/ou-ya-28/
FALSE,OUYATWENTYSEVEN,"[OU YA 27, OUYATWENTYSEVEN]",412439599,,,[BZ6VZ],,CHN,FISHING,SQUID_JIGGER,1596,2013,0,NINGBO EURASIAN OCEAN FISHERY,,"CHINA, PEOPLE'S REPUBLIC OF",NINGBO EURASIAN OCEAN FISHERY,UNKNOWN,NINGBO EURASIAN OCEAN FISHERY,UNKNOWN,UNKNOWN,"NINGBO, ZHEJIANG",NINGBO EURASIAN OCEAN FISHERY,,,,,,,
FALSE,OUYA19,[OUYA19],412439601,8782965,BZ5VZ,[BZ5VZ],,CHN,FISHING,SQUID_JIGGER,1596,2013,0,NINGBO EURASIAN OCEAN FISHERY,,"CHINA, PEOPLE'S REPUBLIC OF",NINGBO EURASIAN OCEAN FISHERY,UNKNOWN,NINGBO EURASIAN OCEAN FISHERY,UNKNOWN,UNKNOWN,"NINGBO, ZHEJIANG",NINGBO EURASIAN OCEAN FISHERY,,,,,,,
FALSE,OUYA1,[OUYA1],412439602,,BZ4VZ,[BZ4VZ],,CHN,FISHING,SQUID_JIGGER,1596,2013,0,NINGBO EURASIAN OCEAN FISHERY,,"CHINA, PEOPLE'S REPUBLIC OF",NINGBO EURASIAN OCEAN FISHERY,UNKNOWN,NINGBO EURASIAN OCEAN FISHERY,UNKNOWN,UNKNOWN,"NINGBO, ZHEJIANG",NINGBO EURASIAN OCEAN FISHERY,,,,,,,
FALSE,YONG FA NO.5,[YONG FA NO.5],412439617,9789221,BZV5Y,[BZV5Y],,CHN,FISHING,FISHING,1408,2015,77,NINGBO YONGFA OCEAN FISHERIES,NINGBO YONGFA OCEAN FISHERIES,"CHINA, PEOPLE'S REPUBLIC OF",NINGBO YONGFA OCEAN FISHERIES,UNKNOWN,NINGBO YONGFA OCEAN FISHERIES,UNKNOWN,UNKNOWN,"NINGBO, ZHEJIANG",NINGBO YONGFA OCEAN FISHERIES,9807451,412439762,YONG FA 7,THIS VESSEL HAS IUU/DEROG REPORTS,history of large transmission gaps,DARK ACTIVITY,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/yong-fa-5/
FALSE,HAI FENG 2,[HAI FENG 2],412439742,,,[BZ5VC],,CHN,FISHING,SQUID_JIGGER,488,2010,50.5,ZHOUSHAN ZHONGJU OCEAN,ZHOUSHAN ZHONGJU OCEAN,"CHINA, PEOPLE'S REPUBLIC OF",ZHOUSHAN ZHONGJU OCEAN,UNKNOWN,ZHOUSHAN ZHONGJU OCEAN,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHOUSHAN ZHONGJU OCEAN,,412420253,PU YUAN 838,THIS VESSEL HAS IUU/DEROG REPORTS,history of large transmission gaps,DARK ACTIVITY,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/hai-feng-2/
FALSE,YONG FA 6,[YONG FA 6],412439761,9807449,,[BZW3B],,CHN,FISHING,SQUID_JIGGER,1408,2016,77,NINGBO YONGFA OCEAN FISHERIES,NINGBO YONGFA OCEAN FISHERIES,"CHINA, PEOPLE'S REPUBLIC OF",NINGBO YONGFA OCEAN FISHERIES,UNKNOWN,NINGBO YONGFA OCEAN FISHERIES,NINGBO YONGFA OCEAN FISHERIES,UNKNOWN,"NINGBO, ZHEJIANG",NINGBO YONGFA OCEAN FISHERIES,9807451,412439762,YONG FA 7,THIS VESSEL HAS IUU/DEROG REPORTS,"Crew from the Yong Fa 6 reported verbal abuse, lack of good food, poor quality water, having to pay for food, and lack of medicine. Crew members also reported that the Yong Fa 6 engaged in shark finning and seal hunting.",DARK ACTIVITY / HUMAN RIGHTS ABUSE / IUU,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/yong-fa-6/
FALSE,FU YUAN YU LENG 36,[FU YUAN YU LENG 36],412440239,,BZU4P,[BZU4P],,CHN,CARRIER,CARRIER,2510,2014,85.37,FUJIAN CHANGFENG FISHERY CO,FUJIAN CHANGFENG FISHERY CO,"CHINA, PEOPLE'S REPUBLIC OF",FUJIAN CHANGFENG FISHERY CO,UNKNOWN,FUJIAN CHANGFENG FISHERY CO,UNKNOWN,UNKNOWN,"FUZHOU, FUJIAN",FUJIAN CHANGFENG FISHERY CO,8687696,,,VESSEL IN OWNERSHIP FLEET HAS IUU/DEROG REPORTS,"Sea Shepherd observed the vessel retrieving longline gear in the IATTC Convention Area. The vessel was using metal branch lines running directly from longline floats, which is in violation of IATTC resolutions.",IUU,https://media.fisheries.noaa.gov/2021-08/2021ReporttoCongressonImprovingInternationalFisheriesManagement.pdf
FALSE,FU YUAN YU 658,"[FU YUAN YU 658, FUYUANYU658]",412440241,,,"[BVKQ8, 658]",,CHN,FISHING,FISHING,681,2013,45.1,HUIAN CHONGWU YONGFENG FISHERY,HUIAN CHONGWU YONGFENG FISHERY,"CHINA, PEOPLE'S REPUBLIC OF",HUIAN CHONGWU YONGFENG FISHERY,UNKNOWN,HUIAN CHONGWU YONGFENG FISHERY,UNKNOWN,UNKNOWN,"FUZHOU, FUJIAN",HUIAN CHONGWU YONGFENG FISHERY,,,,,,,
FALSE,FU YUAN YU 659,"[FU YUAN YU 659, FUYUANYU659]",412440242,,659,"[659, BVKR8]",,CHN,FISHING,FISHING,681,2013,45.1,HUIAN CHONGWU YONGFENG FISHERY,HUIAN CHONGWU YONGFENG FISHERY,"CHINA, PEOPLE'S REPUBLIC OF",HUIAN CHONGWU YONGFENG FISHERY,UNKNOWN,HUIAN CHONGWU YONGFENG FISHERY,UNKNOWN,UNKNOWN,"FUZHOU, FUJIAN",HUIAN CHONGWU YONGFENG FISHERY,,,,,,,
FALSE,FU YUAN YU601,[FU YUAN YU601],412440243,,BZU9E,[BZU9E],,CHN,FISHING,FISHING,857,2013,52.07,FUJIAN WANTONG FISHERY CO LTD,FUJIAN WANTONG FISHERY CO LTD,"CHINA, PEOPLE'S REPUBLIC OF",FUJIAN WANTONG FISHERY CO LTD,UNKNOWN,FUJIAN WANTONG FISHERY CO LTD,UNKNOWN,UNKNOWN,"FUZHOU, FUJIAN",FUJIAN WANTONG FISHERY CO LTD,8550130,,,VESSEL IN OWNERSHIP FLEET HAS IUU/DEROG REPORTS,Potential use of illegal netgear. The vessels were ordered to return to China before June 30th 2018 for inspection.,IUU,http://www.moa.gov.cn/nybgb/2018/201806/201809/t20180904_6156764.htm
FALSE,FUYUANYU602,[FUYUANYU602],412440244,,,[BZU1F],,CHN,FISHING,FISHING,857,2013,52.07,FUJIAN WANTONG FISHERY CO LTD,FUJIAN WANTONG FISHERY CO LTD,"CHINA, PEOPLE'S REPUBLIC OF",FUJIAN WANTONG FISHERY CO LTD,UNKNOWN,FUJIAN WANTONG FISHERY CO LTD,UNKNOWN,UNKNOWN,"FUZHOU, FUJIAN",FUJIAN WANTONG FISHERY CO LTD,8550130,,,VESSEL IN OWNERSHIP FLEET HAS IUU/DEROG REPORTS,Potential use of illegal netgear. The vessels were ordered to return to China before June 30th 2018 for inspection.,IUU,http://www.moa.gov.cn/nybgb/2018/201806/201809/t20180904_6156764.htm
FALSE,FU YUAN YU 603,[FU YUAN YU 603],412440245,,BZU2F,[BZU2F],,CHN,FISHING,FISHING,857,2013,52.07,FUJIAN WANTONG FISHERY CO LTD,FUJIAN WANTONG FISHERY CO LTD,"CHINA, PEOPLE'S REPUBLIC OF",FUJIAN WANTONG FISHERY CO LTD,UNKNOWN,FUJIAN WANTONG FISHERY CO LTD,UNKNOWN,UNKNOWN,"FUZHOU, FUJIAN",FUJIAN WANTONG FISHERY CO LTD,8550130,,,VESSEL IN OWNERSHIP FLEET HAS IUU/DEROG REPORTS,Potential use of illegal netgear. The vessels were ordered to return to China before June 30th 2018 for inspection.,IUU,http://www.moa.gov.cn/nybgb/2018/201806/201809/t20180904_6156764.htm
FALSE,FU YUAN YU 605,[FU YUAN YU 605],412440246,,BZU3F,[BZU3F],,CHN,FISHING,FISHING,857,2013,52.07,FUJIAN WANTONG FISHERY CO LTD,FUJIAN WANTONG FISHERY CO LTD,"CHINA, PEOPLE'S REPUBLIC OF",FUJIAN WANTONG FISHERY CO LTD,UNKNOWN,FUJIAN WANTONG FISHERY CO LTD,UNKNOWN,UNKNOWN,"FUZHOU, FUJIAN",FUJIAN WANTONG FISHERY CO LTD,8550130,,,VESSEL IN OWNERSHIP FLEET HAS IUU/DEROG REPORTS,Potential use of illegal netgear. The vessels were ordered to return to China before June 30th 2018 for inspection.,IUU,http://www.moa.gov.cn/nybgb/2018/201806/201809/t20180904_6156764.htm
FALSE,FU YUAN YU 606,"[FUYUANYU606, FU YUAN YU 606]",412440247,,BZU4F,[BZU4F],,CHN,FISHING,FISHING,857,2013,52.07,FUJIAN WANTONG FISHERY CO LTD,FUJIAN WANTONG FISHERY CO LTD,"CHINA, PEOPLE'S REPUBLIC OF",FUJIAN WANTONG FISHERY CO LTD,UNKNOWN,FUJIAN WANTONG FISHERY CO LTD,UNKNOWN,UNKNOWN,"FUZHOU, FUJIAN",FUJIAN WANTONG FISHERY CO LTD,8550130,,,VESSEL IN OWNERSHIP FLEET HAS IUU/DEROG REPORTS,Potential use of illegal netgear. The vessels were ordered to return to China before June 30th 2018 for inspection.,IUU,http://www.moa.gov.cn/nybgb/2018/201806/201809/t20180904_6156764.htm
FALSE,FU YUAN YU 607,[FU YUAN YU 607],412440248,,BZU5F,[BZU5F],,CHN,FISHING,FISHING,857,2013,52.07,FUJIAN WANTONG FISHERY CO LTD,FUJIAN WANTONG FISHERY CO LTD,"CHINA, PEOPLE'S REPUBLIC OF",FUJIAN WANTONG FISHERY CO LTD,UNKNOWN,FUJIAN WANTONG FISHERY CO LTD,UNKNOWN,UNKNOWN,"FUZHOU, FUJIAN",FUJIAN WANTONG FISHERY CO LTD,8550130,,,VESSEL IN OWNERSHIP FLEET HAS IUU/DEROG REPORTS,Potential use of illegal netgear. The vessels were ordered to return to China before June 30th 2018 for inspection.,IUU,http://www.moa.gov.cn/nybgb/2018/201806/201809/t20180904_6156764.htm
FALSE,FU YUAN YU 608,[FU YUAN YU 608],412440249,,BZU6F,[BZU6F],,CHN,FISHING,FISHING,857,2013,52.07,FUJIAN WANTONG FISHERY CO LTD,FUJIAN WANTONG FISHERY CO LTD,"CHINA, PEOPLE'S REPUBLIC OF",FUJIAN WANTONG FISHERY CO LTD,UNKNOWN,FUJIAN WANTONG FISHERY CO LTD,UNKNOWN,UNKNOWN,"FUZHOU, FUJIAN",FUJIAN WANTONG FISHERY CO LTD,8550130,,,VESSEL IN OWNERSHIP FLEET HAS IUU/DEROG REPORTS,Potential use of illegal netgear. The vessels were ordered to return to China before June 30th 2018 for inspection.,IUU,http://www.moa.gov.cn/nybgb/2018/201806/201809/t20180904_6156764.htm
FALSE,FU YUAN YU609,[FU YUAN YU609],412440251,,BZU7F,[BZU7F],,CHN,FISHING,FISHING,857,2013,52.07,FUJIAN WANTONG FISHERY CO LTD,FUJIAN WANTONG FISHERY CO LTD,"CHINA, PEOPLE'S REPUBLIC OF",FUJIAN WANTONG FISHERY CO LTD,UNKNOWN,FUJIAN WANTONG FISHERY CO LTD,UNKNOWN,UNKNOWN,"FUZHOU, FUJIAN",FUJIAN WANTONG FISHERY CO LTD,8550130,,,VESSEL IN OWNERSHIP FLEET HAS IUU/DEROG REPORTS,Potential use of illegal netgear. The vessels were ordered to return to China before June 30th 2018 for inspection.,IUU,http://www.moa.gov.cn/nybgb/2018/201806/201809/t20180904_6156764.htm
FALSE,FU YUAN YU LENG 15,"[FU YUAN YU LENG 15, FUYUANYULENG15]",412440252,,,[BZU3K],,CHN,CARRIER,CARRIER,1296,2013,59.97,FUJIAN WANTONG FISHERY CO LTD,FUJIAN WANTONG FISHERY CO LTD,"CHINA, PEOPLE'S REPUBLIC OF",FUJIAN WANTONG FISHERY CO LTD,UNKNOWN,FUJIAN WANTONG FISHERY CO LTD,UNKNOWN,UNKNOWN,"FUZHOU, FUJIAN",FUJIAN WANTONG FISHERY CO LTD,8550130,,,VESSEL IN OWNERSHIP FLEET HAS IUU/DEROG REPORTS,Potential use of illegal netgear. The vessels were ordered to return to China before June 30th 2018 for inspection.,IUU,http://www.moa.gov.cn/nybgb/2018/201806/201809/t20180904_6156764.htm
FALSE,FU YUAN YU LENG 16,[FU YUAN YU LENG 16],412440253,,BZU4K,[BZU4K],,CHN,CARRIER,CARRIER,1296,2013,59.97,FUJIAN WANTONG FISHERY CO LTD,FUJIAN WANTONG FISHERY CO LTD,"CHINA, PEOPLE'S REPUBLIC OF",FUJIAN WANTONG FISHERY CO LTD,UNKNOWN,FUJIAN WANTONG FISHERY CO LTD,UNKNOWN,UNKNOWN,"FUZHOU, FUJIAN",FUJIAN WANTONG FISHERY CO LTD,8550130,,,VESSEL IN OWNERSHIP FLEET HAS IUU/DEROG REPORTS,Potential use of illegal netgear. The vessels were ordered to return to China before June 30th 2018 for inspection.,IUU,http://www.moa.gov.cn/nybgb/2018/201806/201809/t20180904_6156764.htm
FALSE,FUYUANYULENG19,"[FUYUANYULENG19, FU YUAN YU LENG 19]",412440254,,BZU5K,[BZU5K],,CHN,CARRIER,CARRIER,1296,2013,59.97,FUJIAN WANTONG FISHERY CO LTD,FUJIAN WANTONG FISHERY CO LTD,"CHINA, PEOPLE'S REPUBLIC OF",FUJIAN WANTONG FISHERY CO LTD,UNKNOWN,FUJIAN WANTONG FISHERY CO LTD,UNKNOWN,UNKNOWN,"FUZHOU, FUJIAN",FUJIAN WANTONG FISHERY CO LTD,8550130,,,VESSEL IN OWNERSHIP FLEET HAS IUU/DEROG REPORTS,Potential use of illegal netgear. The vessels were ordered to return to China before June 30th 2018 for inspection.,IUU,http://www.moa.gov.cn/nybgb/2018/201806/201809/t20180904_6156764.htm
FALSE,FU YUAN YU 079,"[FU YUAN YU 079, FUYUANYU079]",412440423,,,[BZU7V],,CHN,FISHING,FISHING,1012,2014,62.6,JINXIN OCEAN FISHERY CO LTD,JINXIN OCEAN FISHERY CO LTD,"CHINA, PEOPLE'S REPUBLIC OF",JINXIN OCEAN FISHERY CO LTD,UNKNOWN,JINXIN OCEAN FISHERY CO LTD,UNKNOWN,UNKNOWN,"FUZHOU, FUJIAN",JINXIN OCEAN FISHERY CO LTD,,,,,,,
FALSE,FUYUANYU083,"[FUYUANYU083, FU YUAN YU 083]",412440424,,BZU8V,"[83, BZU8V]",,CHN,FISHING,INCONCLUSIVE,1012,2014,62.6,JINXIN OCEAN FISHERY CO LTD,JINXIN OCEAN FISHERY CO LTD,"CHINA, PEOPLE'S REPUBLIC OF",JINXIN OCEAN FISHERY CO LTD,UNKNOWN,JINXIN OCEAN FISHERY CO LTD,UNKNOWN,UNKNOWN,"FUZHOU, FUJIAN",JINXIN OCEAN FISHERY CO LTD,,,,,,,
FALSE,FU YUAN YU 080,[FU YUAN YU 080],412440477,,BZUN6,[BZUN6],,CHN,FISHING,FISHING,1012,2014,62.6,JINXIN OCEAN FISHERY CO LTD,JINXIN OCEAN FISHERY CO LTD,"CHINA, PEOPLE'S REPUBLIC OF",JINXIN OCEAN FISHERY CO LTD,UNKNOWN,JINXIN OCEAN FISHERY CO LTD,UNKNOWN,UNKNOWN,"FUZHOU, FUJIAN",JINXIN OCEAN FISHERY CO LTD,,,,,,,
FALSE,FU YUAN YU 081,[FUYUANYU081],412440478,,BZUN7,"[BZUN7, BZUN8]",,CHN,FISHING,FISHING,1010,2014,62.6,JINXIN OCEAN FISHERY CO LTD,JINXIN OCEAN FISHERY CO LTD,"CHINA, PEOPLE'S REPUBLIC OF",JINXIN OCEAN FISHERY CO LTD,UNKNOWN,JINXIN OCEAN FISHERY CO LTD,UNKNOWN,UNKNOWN,"FUZHOU, FUJIAN",JINXIN OCEAN FISHERY CO LTD,,,,,,,
FALSE,FU YUAN YU 082,[FU YUAN YU 082],412440479,,BZUN8,[BZUN8],,CHN,FISHING,FISHING,1012,2014,62.6,JINXIN OCEAN FISHERY CO LTD,JINXIN OCEAN FISHERY CO LTD,"CHINA, PEOPLE'S REPUBLIC OF",JINXIN OCEAN FISHERY CO LTD,UNKNOWN,JINXIN OCEAN FISHERY CO LTD,UNKNOWN,UNKNOWN,"FUZHOU, FUJIAN",JINXIN OCEAN FISHERY CO LTD,,,,THIS VESSEL HAS IUU/DEROG REPORTS,Fishing in russian waters,US SEAFOOD ISSUE,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/fu-yuan-yu-082/
FALSE,FU YUAN YU 085,"[FU YUAN YU 085, FUYUANYU085]",412440481,,,[BZUN9],,CHN,FISHING,FISHING,1012,2015,62.6,JINXIN OCEAN FISHERY CO LTD,JINXIN OCEAN FISHERY CO LTD,"CHINA, PEOPLE'S REPUBLIC OF",JINXIN OCEAN FISHERY CO LTD,UNKNOWN,JINXIN OCEAN FISHERY CO LTD,UNKNOWN,UNKNOWN,"FUZHOU, FUJIAN",JINXIN OCEAN FISHERY CO LTD,,,,THIS VESSEL HAS IUU/DEROG REPORTS,Fishing in russian waters,US SEAFOOD ISSUE,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/fu-yuan-yu-085/
FALSE,FU YUAN YU 660,[FUYUANYU660],412440482,,BVGL8,"[BVGL8, 660]",,CHN,FISHING,FISHING,1126,2014,59.27,XIAMEN YONGXUN OCEANIC,XIAMEN YONGXUN OCEANIC,"CHINA, PEOPLE'S REPUBLIC OF",XIAMEN YONGXUN OCEANIC,UNKNOWN,XIAMEN YONGXUN OCEANIC,UNKNOWN,UNKNOWN,"FUZHOU, FUJIAN",XIAMEN YONGXUN OCEANIC,,,,,,,
FALSE,FU YUAN YU 661,"[FUYUANYU661, FU YUAN YU 661]",412440483,,88661,"[BVJI8, 88661]",,CHN,FISHING,FISHING,1126,2014,59.27,XIAMEN YONGXUN OCEANIC,XIAMEN YONGXUN OCEANIC,"CHINA, PEOPLE'S REPUBLIC OF",XIAMEN YONGXUN OCEANIC,UNKNOWN,XIAMEN YONGXUN OCEANIC,UNKNOWN,UNKNOWN,"FUZHOU, FUJIAN",XIAMEN YONGXUN OCEANIC,,,,THIS VESSEL HAS IUU/DEROG REPORTS,Crew not being paid allegedly,HUMAN RIGHTS ABUSE,C4ADS Internal Source Available Upon Request
FALSE,FUYUANYU662,[FUYUANYU662],412440484,,BVJJ8,[BVJJ8],,CHN,FISHING,FISHING,1126,2014,59.27,XIAMEN YONGXUN OCEANIC,XIAMEN YONGXUN OCEANIC,"CHINA, PEOPLE'S REPUBLIC OF",XIAMEN YONGXUN OCEANIC,UNKNOWN,XIAMEN YONGXUN OCEANIC,UNKNOWN,UNKNOWN,"FUZHOU, FUJIAN",XIAMEN YONGXUN OCEANIC,,,,,,,
