Vessel_Name,MMSI,IMO,gfw_flag,CallSign,IHS_GrossTonnage,IHS_LengthOverallLOA(Meters),IHS_YearOfBuild,IHS_ExName,geartype_best,IHS_PortofRegistry,CountryOfControlName,IHS_GroupBeneficialOwner,IHS_RegisteredOwner,IHS_RegisteredOwnerCountryOfRegistration,IHS_Operator,IHS_ShipManager,IHS_TechnicalManager,Non-Compliance History (yes / sister ship),Type of Non-Compliance,Vessel Non-Compliance Description,SisterShip(s)Type of Non-Compliance,Sister Ship Non-Compliance Description,SisterShipWithNonComplianceConcerns,Sources,poor_id,trip_start,trip_duration_days,start_port_iso3,start_port_label,in_transit_aoi_p1,in_transit_aoi_p2,in_primary_area_p1,in_primary_area_p2,num_encounters,num_loitering,num_fishing,vv_url,skylight_url,transit_p1_dark_rendezvous,transit_p1_fishing_activity_history,transit_p1_standard_rendezvous,transit_p1_viirs,transit_p1_sar_sentinel1,transit_p1_eo_sentinel2,transit_p1_eo_landsat_8_9,transit_p2_dark_rendezvous,transit_p2_fishing_activity_history,transit_p2_standard_rendezvous,transit_p2_viirs,transit_p2_sar_sentinel1,transit_p2_eo_sentinel2,transit_p2_eo_landsat_8_9,primary_area_p1_dark_rendezvous,primary_area_p1_fishing_activity_history,primary_area_p1_standard_rendezvous,primary_area_p1_viirs,primary_area_p1_sar_sentinel1,primary_area_p1_eo_sentinel2,primary_area_p1_eo_landsat_8_9,primary_area_p2_dark_rendezvous,primary_area_p2_fishing_activity_history,primary_area_p2_standard_rendezvous,primary_area_p2_viirs,primary_area_p2_sar_sentinel1,primary_area_p2_eo_sentinel2,primary_area_p2_eo_landsat_8_9,New_vessel
GREEN COSTA RICA,309689000,8912120,BHS,C6WB3,7743,131.25,1992,PRINCE,carrier,NASSAU,NORWAY,GREEN REEFERS,GREEN SHIPPING AS,NORWAY,SEATRADE REEFER CHARTERING NV,GREEN MANAGEMENT SP Z OO,GREEN MANAGEMENT SP Z OO,,,,,,,,FALSE,2025-05-20T14:49:00Z,13.38,JPN,KOBE,FALSE,TRUE,TRUE,TRUE,0,4,0,https://globalfishingwatch.org/map/vessel/9e11c0598-8115-4c00-a591-b4f9a5b8bda3?&start=2025-05-18&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/309689000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
GENEIMARU NO62,431000820,9659086,JPN,NA,184,41.71,2013,,squid_jigger,"HACHINOHE, AOMORI",JAPAN, ,HACHINOHE KISEN GYOGYO,,YAMATSU YACHI SHOTEN,YAMATSU YACHI SHOTEN, ,,,,,,,,FALSE,2025-05-08T06:21:00Z,25.71,JPN,HACHINOHE,TRUE,TRUE,TRUE,TRUE,0,6,14,https://globalfishingwatch.org/map/vessel/8814797e0-0ad2-8d2c-4c54-c822ea2b2d95?&start=2025-05-06&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/431000820,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
GENEIMARU NO67,431000860,9661950,JPN,NA,184,41.33,2013,,squid_jigger,"HACHINOHE, AOMORI",JAPAN, ,HACHINOHE KISEN GYOGYO,,HACHINOHE KISEN GYOGYO,HACHINOHE KISEN GYOGYO, ,,,,,,,,FALSE,2025-05-07T18:08:00Z,26.21,JPN,HACHINOHE,TRUE,TRUE,TRUE,TRUE,0,10,17,https://globalfishingwatch.org/map/vessel/c9135db59-967e-a54e-9d28-890574108e4d?&start=2025-05-05&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/431000860,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
NO65GENEIMARU,431000840,9659098,JPN,NA,184,41.71,2013,,squid_jigger,"HACHINOHE, AOMORI",JAPAN, ,HACHINOHE KISEN GYOGYO,,YAMATSU YACHI SHOTEN,YAMATSU YACHI SHOTEN, ,,,,,,,,FALSE,2025-05-07T03:45:00Z,26.83,JPN,HACHINOHE,TRUE,TRUE,TRUE,TRUE,0,8,16,https://globalfishingwatch.org/map/vessel/b5ccd69c7-70a1-7fb7-ede1-9a4ca9f71b4a?&start=2025-05-05&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/431000840,3,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
NO71 YAEMARU,431000870,9661962,JPN,NA,184,41.33,2013,,squid_jigger,"HACHINOHE, AOMORI",JAPAN, ,HACHINOHE KISEN GYOGYO,,HACHINOHE KISEN GYOGYO,HACHINOHE KISEN GYOGYO, ,,,,,,,,FALSE,2025-05-11T03:55:00Z,22.83,JPN,HACHINOHE,TRUE,TRUE,TRUE,TRUE,0,8,10,https://globalfishingwatch.org/map/vessel/f04f7bdda-ab50-45dc-fe09-6765560e37e1?&start=2025-05-09&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/431000870,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
SHOSHIN MARU NO.21,432906000,9659048,JPN,NA,184,41.7,2013,,squid_jigger,"HACHINOHE, AOMORI",JAPAN, ,HACHINOHE KISEN GYOGYO,,MARUKICHI KK,MARUKICHI KK, ,,,,,,,,FALSE,2025-05-07T04:25:00Z,26.79,JPN,HACHINOHE,TRUE,TRUE,TRUE,TRUE,0,7,13,https://globalfishingwatch.org/map/vessel/6f5f6aa06-6119-710a-50cc-fb9d7606b500?&start=2025-05-05&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/432906000,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
HANEIMARU NO.58,431005411,8345054,JPN,NA,15,0,2014,,drifting_longlines,"NICHINAN, MIYAZAKI",JAPAN, ,HANEI INC,,HANEI INC,HANEI INC, ,,,,,,,,FALSE,2025-05-27T00:25:00Z,6.96,JPN,CHOSHI,FALSE,TRUE,TRUE,TRUE,0,1,0,https://globalfishingwatch.org/map/vessel/67838f1e2-28d4-6068-e965-2c4d01a650db?&start=2025-05-25&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/431005411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
KOEIMARU,431046000,9217498,JPN,JH3463,158,0,2000,,pole_and_line,"KIHOKU, MIE",JAPAN, ,HASHIMOTO M,,HASHIMOTO M,HASHIMOTO M, ,,,,,,,,FALSE,2025-05-30T13:15:00Z,3.42,JPN,KESENNUMA,FALSE,TRUE,TRUE,TRUE,0,0,0,https://globalfishingwatch.org/map/vessel/8dbd95455-5c5a-831f-bb5b-8a960c0622c9?&start=2025-05-28&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/431046000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
HORNG YIH FWUM NO628,416001799,8550867,TWN,BJ4570,79,23.97,1999,,drifting_longlines,SUAO,TAIWAN,HOMG B-Y,HOMG B-Y,TAIWAN,HOMG B-Y,HOMG B-Y, ,Yes,IUU,"HORNG YIH FWU NO.628 was sanctioned by the Taiwan FA for holding prohibited fish species(OCS) and failing to dispose of shark fins in the prescribed manner. Taiwan FA fined the vessels operator (Bao-Yinn Homg) NTD 2,500,000 and the vessels captain NTD 500,000 as well as suspending their fishing license for 1 month.",,,,https://en.fa.gov.tw/view.php?theme=Combating_IUU&subtheme=&id=10,FALSE,2025-04-27T02:23:00Z,36.88,TWN,SUAO,FALSE,TRUE,TRUE,TRUE,0,3,0,https://globalfishingwatch.org/map/vessel/c83849dd3-3e9f-fb9d-d744-02dd96dd9bfc?&start=2025-04-25&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/416001799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
RYOFUKU MARU NO.38,432924000,9674672,JPN,7JOK,439,57.1,2013,,drifting_longlines,"IWAKI, FUKUSHIMA",JAPAN, ,HONZO SHOTEN,,HONZO SHOTEN,HONZO SHOTEN, ,,,,,,,,FALSE,2025-05-30T22:38:00Z,3.04,JPN,KESENNUMA,FALSE,TRUE,TRUE,TRUE,0,0,0,https://globalfishingwatch.org/map/vessel/4e7c0c37a-a643-7f0d-be8c-6f8a63fb5395?&start=2025-05-28&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/432924000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
FENG YU QUN,416229700,8535128,TWN,BJ5023,98,21.5,2009,,drifting_longlines,KAOHSIUNG,TAIWAN, ,HUANG C-F,,HUANG C-F,HUANG C-F, ,Yes,IUU,"FENG YU QUN was sanctioned by Taiwan FA in 2025 for not following regulations when processing shark catch. The operator, Chin-Fa Huang, was fined 500,000 NTD and an employee was fined 100,000 NTD.",,,,https://en.fa.gov.tw/view.php?theme=Combating_IUU&subtheme=&id=11,FALSE,2025-05-15T01:45:00Z,18.92,TWN,DONGGANG,FALSE,TRUE,TRUE,TRUE,0,1,1,https://globalfishingwatch.org/map/vessel/ad14e68a2-2418-b719-ff0b-4cde7f2e10ec?&start=2025-05-13&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/416229700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
LIEN YU FA NO.32,416002998,8539930,TWN,BJ4607,67,27.45,2000,,drifting_longlines,KAOHSIUNG,TAIWAN,HUANG J-F,HUANG J-F,TAIWAN,HUANG J-F,HUANG J-F, ,,,,,,,,FALSE,2025-05-20T02:17:00Z,13.88,TWN,DONGGANG,FALSE,TRUE,TRUE,TRUE,0,0,0,https://globalfishingwatch.org/map/vessel/0e1088bbb-b781-46a8-3665-a4e3edc3d35a?&start=2025-05-18&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/416002998,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,3,2,0,0,0,0,0,3,2,0,0,0,0,TRUE
JENN FENG YI NO1,416000137,8552047,TWN,BG3819,98,27.08,1987,YU FENG NO. 66,drifting_longlines,KAOHSIUNG,TAIWAN,HUANG Q-Y,HUANG Q-Y,TAIWAN,HUANG Q-Y,HUANG Q-Y, ,,,,,,,,FALSE,2025-05-09T02:07:00Z,24.88,TWN,DONGGANG,FALSE,TRUE,TRUE,TRUE,0,8,24,https://globalfishingwatch.org/map/vessel/6b7c3ce03-3c22-5262-b94d-83e825610cee?&start=2025-05-07&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/416000137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,TRUE
JIN CHINQ FUH NO. 66,416000412,8550855,TWN,BJ3929,99,27.05,1989,,set_longlines,SUAO,TAIWAN,HUANG Y-F,HUANG Y-F,TAIWAN,HUANG Y-F,HUANG Y-F, ,Yes,IUU,"JIN CHINQ FUH NO.66 was fined by Taiwan Fisheries Agency in 2022 for violations in relation to shark finning. As a result, the vessel operator was fined NTD 2,500.000, the vessels captain was fined NTD 500,000 and both had fishing licences suspended for 10 months.",,,,https://en.fa.gov.tw/view.php?theme=Combating_IUU&subtheme=&id=10; and https://en.fa.gov.tw/view.php?theme=Press_Release&subtheme=&id=65,FALSE,2025-05-19T08:31:00Z,14.63,TWN,SUAO,FALSE,TRUE,TRUE,TRUE,0,0,0,https://globalfishingwatch.org/map/vessel/f964cb91d-d849-6b92-e962-e6f09fc0eb0d?&start=2025-05-17&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/416000412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
FUYUANYU658,412440241,8549210,CHN,BVKQ8,681,45.1,2013,,fishing,"FUZHOU, FUJIAN","CHINA, PEOPLE'S REPUBLIC OF",HUIAN CHONGWU YONGFENG FISHERY,HUIAN CHONGWU YONGFENG FISHERY,"CHINA, PEOPLE'S REPUBLIC OF",HUIAN CHONGWU YONGFENG FISHERY,HUIAN CHONGWU YONGFENG FISHERY, ,,,,,,,,FALSE,2025-03-21T09:38:00Z,73.58,CHN,XIAMEN,FALSE,TRUE,TRUE,TRUE,2,95,82,https://globalfishingwatch.org/map/vessel/08fafdf59-9c44-d992-a56b-78856f72f38f?&start=2025-03-19&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/412440241,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,2,3,0,0,0,FALSE
FUYUANYU659,412440242,8549222,CHN,BVKR8,681,45.1,2013,,fishing,"FUZHOU, FUJIAN","CHINA, PEOPLE'S REPUBLIC OF",HUIAN CHONGWU YONGFENG FISHERY,HUIAN CHONGWU YONGFENG FISHERY,"CHINA, PEOPLE'S REPUBLIC OF",HUIAN CHONGWU YONGFENG FISHERY,HUIAN CHONGWU YONGFENG FISHERY, ,,,,,,,,FALSE,2025-03-21T09:36:00Z,73.58,CHN,XIAMEN,FALSE,TRUE,TRUE,TRUE,0,59,29,https://globalfishingwatch.org/map/vessel/5fdb48d70-098e-1453-a586-e71d0e355ab4?&start=2025-03-19&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/412440242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE
JINFU-SHENG,416003063,8547169,TWN,BJ4036,73,23.65,1989,CHYUAN LIANG FA NO. 168,drifting_longlines,KAOHSIUNG,TAIWAN, ,HUNG F-C,,HUNG F-C,HUNG F-C, ,,,,,,,,FALSE,2025-05-22T23:57:00Z,11,TWN,DONGGANG,FALSE,TRUE,TRUE,TRUE,0,0,0,https://globalfishingwatch.org/map/vessel/04e0b95fc-c047-7973-d9b4-b3d6cc87d38b?&start=2025-05-20&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/416003063,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,29,1,0,0,0,0,0,29,1,0,0,0,0,TRUE
YU CHUN NO166,416002605,8551902,TWN,BJ4837,72,26.1,2005,,drifting_longlines,KAOHSIUNG,TAIWAN,HWANG S-J,HWANG S-J,TAIWAN,HWANG S-J,HWANG S-J, ,,,,,,,,FALSE,2025-04-14T01:55:00Z,49.92,TWN,LIUQIU,FALSE,TRUE,TRUE,TRUE,1,40,43,https://globalfishingwatch.org/map/vessel/f9d8387c5-5563-160f-058b-00a2b42bb6d8?&start=2025-04-12&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/416002605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
KASHIMA MARU,431277000,9767429,JPN,7JUQ,313,47.23,2016,,fishing,"HITACHINAKA, IBARAKI",JAPAN, ,IBARAKI PREFECTURE,,IBARAKI PREFECTURE,IBARAKI PREFECTURE, ,,,,,,,,FALSE,2025-05-28T23:47:00Z,5,JPN,JPN-467,FALSE,TRUE,TRUE,FALSE,0,0,0,https://globalfishingwatch.org/map/vessel/5e07489db-bb8c-b821-35d0-89e70615beba?&start=2025-05-26&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/431277000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NO.8MATSUMARU,431600620,8344490,JPN,NA,19,0,1985,,drifting_longlines,"TSUKUMI, OITA",JAPAN,ISHIDA S,ISHIDA S,JAPAN,ISHIDA S,ISHIDA S, ,,,,,,,,FALSE,2025-05-27T06:20:00Z,6.71,JPN,USUKI,FALSE,TRUE,TRUE,TRUE,0,0,0,https://globalfishingwatch.org/map/vessel/54fb5a4a8-8947-3419-8a7d-43ef5dcd04c0?&start=2025-05-25&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/431600620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NO.85KOFUKUMARU,431931000,9167576,JPN,JD2708,184,0,1997,WAKASHIO MARU NO. 85,squid_jigger,"OTARU, HOKKAIDO",JAPAN, ,ISHIGAKI GYOGYO,,ISHIGAKI GYOGYO,ISHIGAKI GYOGYO, ,,,,,,,,FALSE,2025-05-08T03:42:00Z,25.83,JPN,HAKODATE,TRUE,TRUE,TRUE,TRUE,0,10,14,https://globalfishingwatch.org/map/vessel/fea1a7f91-115a-a9cf-df49-e81050b58878?&start=2025-05-06&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/431931000,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
SANKO MARU,431200254,9199309,JPN,JH3458,153,0,1998,,pole_and_line,"KIHOKU, MIE",JAPAN, ,ISHIKURA Y,,ISHIKURA Y,ISHIKURA Y, ,,,,,,,,FALSE,2025-05-30T12:37:00Z,3.46,JPN,KESENNUMA,FALSE,TRUE,TRUE,TRUE,0,0,0,https://globalfishingwatch.org/map/vessel/68b8f1ceb-b8cb-227e-1c17-9111331f6598?&start=2025-05-28&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/431200254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
SHOSHIN MARU NO.18,431215000,9992218,JPN,7KPO,496,57.1,2023,,fishing,"AOMORI, AOMORI",JAPAN,JA MITSUI LEASING LTD,JA MITSUI LEASING LTD,JAPAN,JA MITSUI LEASING LTD,JA MITSUI LEASING LTD, ,,,,,,,,FALSE,2025-03-21T01:30:00Z,73.92,JPN,HACHINOHE,FALSE,TRUE,TRUE,TRUE,0,129,176,https://globalfishingwatch.org/map/vessel/0f67adf6d-d3af-9e96-fc75-a3db35dc5a37?&start=2025-03-19&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/431215000,0,0,0,0,0,0,0,15,78,0,0,0,0,0,17,89,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
JIIN-TA-HORNG-NO168,416070900,8748000,TWN,BL2233,1058,57.8,2000,PEI YUH NO. 6,squid_jigger,KAOHSIUNG,TAIWAN, ,JIIN SHUN HORNG FISHERY CO LTD,,JIIN SHUN HORNG FISHERY CO LTD,JIIN SHUN HORNG FISHERY CO LTD, ,,,,,,,,FALSE,2025-05-22T02:40:00Z,11.88,TWN,KAOHSIUNG,FALSE,TRUE,TRUE,TRUE,0,0,0,https://globalfishingwatch.org/map/vessel/4028a4375-5853-5eaa-60a2-49d9a3ec101c?&start=2025-05-20&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/416070900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
JINICHI MARU,431200130,8890504,JPN,JH3403,118,0,1995,,pole_and_line,"SHIMA, MIE",JAPAN, ,JINICHI MARU GYOGYO,,JINICHI MARU GYOGYO,JINICHI MARU GYOGYO, ,,,,,,,,FALSE,2025-05-30T21:10:00Z,3.08,JPN,KESENNUMA,FALSE,TRUE,TRUE,TRUE,0,0,0,https://globalfishingwatch.org/map/vessel/f61bcb8b3-367f-76a5-be47-492d6db70241?&start=2025-05-28&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/431200130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
DAIKOKU MARU NO.8,431010887,8344828,JPN,NA,19,0,2018,,drifting_longlines,"MIYAZAKI, MIYAZAKI",JAPAN, ,JINSHOU SUISAN INC,,JINSHOU SUISAN INC,JINSHOU SUISAN INC, ,,,,,,,,FALSE,2025-05-30T21:30:00Z,3.08,JPN,SHIOGAMA,FALSE,TRUE,TRUE,TRUE,0,0,0,https://globalfishingwatch.org/map/vessel/f2d0e115b-bd8c-58f0-4898-ea7a3aa45dee?&start=2025-05-28&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/431010887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
JINSHOU MARU NO68,431001573,8344830,JPN,NA,19,0,2010,,drifting_longlines,"MIYAZAKI, MIYAZAKI",JAPAN, ,JINSHOU SUISAN INC,,JINSHOU SUISAN INC,JINSHOU SUISAN INC, ,,,,,,,,FALSE,2025-05-30T23:30:00Z,3,JPN,SUSAKI,FALSE,TRUE,TRUE,TRUE,0,0,0,https://globalfishingwatch.org/map/vessel/1a5f75b00-0c82-91cd-0a22-5697317e9789?&start=2025-05-28&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/431001573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
JINTOKU MARU NO.3,431601080,9204269,JPN,JM6654,119,0,1998,,pole_and_line,"NICHINAN, MIYAZAKI",JAPAN, ,JINTOKU SUISAN,,JINTOKU SUISAN,JINTOKU SUISAN, ,,,,,,,,FALSE,2025-05-30T10:12:00Z,3.54,JPN,KESENNUMA,FALSE,TRUE,TRUE,TRUE,0,0,0,https://globalfishingwatch.org/map/vessel/5b6315df6-610d-bcee-d5e6-38d48769cd34?&start=2025-05-28&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/431601080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
FUYUANYU085,412440481,8551770,CHN,BZUN9,1012,62.6,2015,,purse_seines,"FUZHOU, FUJIAN","CHINA, PEOPLE'S REPUBLIC OF",JINXIN OCEAN FISHERY CO LTD,JINXIN OCEAN FISHERY CO LTD,"CHINA, PEOPLE'S REPUBLIC OF",JINXIN OCEAN FISHERY CO LTD,JINXIN OCEAN FISHERY CO LTD, ,Both,Other,Vessel fished in Russian waters 2022 - 2023,Other,FU YUAN YU 082 fished in Russian waters 2022 - 2023,"[FU YUAN YU 082, FU YUAN YU 085]",https://b2p.theoutlawocean.com/vessels/fu-yuan-yu-082,FALSE,2025-03-26T11:15:00Z,68.5,KOR,BUSAN,FALSE,TRUE,TRUE,TRUE,0,54,17,https://globalfishingwatch.org/map/vessel/3a4f3f19a-ac08-9f7d-b36a-9a87f909d311?&start=2025-03-24&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/412440481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE
WAKASHIOMARU NO.33,431501795,8344098,JPN,NA,19,0,2004,,drifting_longlines,"TOSA, KOCHI",JAPAN, ,KAIYO BUSSAN,,KAIYO BUSSAN,KAIYO BUSSAN, ,,,,,,,,FALSE,2025-05-30T21:21:00Z,3.08,JPN,CHOSHI,FALSE,TRUE,TRUE,TRUE,0,0,0,https://globalfishingwatch.org/map/vessel/fc57b3a4a-a45d-3ee5-8cb7-230ef55eeeb7?&start=2025-05-28&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/431501795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
KAIYOUMARU NO30,431701760,8805092,JPN,JC337,349,70.19,1988,,squid_jigger,"HACHINOHE, AOMORI",JAPAN, ,KAIYO GYOGYO KK,,KAIYO GYOGYO KK,KAIYO GYOGYO KK, ,,,,,,,,FALSE,2025-04-17T01:44:00Z,46.92,JPN,HACHINOHE,TRUE,TRUE,TRUE,TRUE,0,28,37,https://globalfishingwatch.org/map/vessel/89b29a461-16a7-85e7-7f3f-cdbd0b10e624?&start=2025-04-15&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/431701760,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
KOEI MARU NO.78,432936000,9682746,JPN,7JPK,436,57.43,2013,,drifting_longlines,"ICHIKIKUSHIKINO, KAGOSHIMA",JAPAN, ,KANZAKI SUISAN KK,,KANZAKI SUISAN KK,KANZAKI SUISAN KK, ,,,,,,,,FALSE,2025-05-29T10:00:00Z,4.54,JPN,SHIMIZU,FALSE,TRUE,TRUE,TRUE,0,0,0,https://globalfishingwatch.org/map/vessel/a7965d4f7-7493-d884-4d93-7b38986d95e9?&start=2025-05-27&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/432936000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
KINEIMARU NO.37,432896000,9661936,JPN,7JNS,119,36.66,2013,,drifting_longlines,"KESENNUMA, MIYAGI",JAPAN, ,KESENNUMA ENYO GYOGYO,,KESENNUMA ENYO GYOGYO,KESENNUMA ENYO GYOGYO, ,,,,,,,,FALSE,2025-05-20T04:26:00Z,13.79,JPN,KESENNUMA,FALSE,TRUE,TRUE,TRUE,0,0,0,https://globalfishingwatch.org/map/vessel/5dcc0cfd6-6e5a-6a3e-20b6-d42ec4ac045a?&start=2025-05-18&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/432896000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
TAIKIMARU NO.81,432907000,9661924,JPN,7JOB,119,36.66,2013,,drifting_longlines,"KESENNUMA, MIYAGI",JAPAN, ,KESENNUMA ENYO GYOGYO,,KESENNUMA ENYO GYOGYO,KESENNUMA ENYO GYOGYO, ,,,,,,,,FALSE,2025-05-26T02:11:00Z,7.88,JPN,KESENNUMA,FALSE,TRUE,TRUE,TRUE,0,2,1,https://globalfishingwatch.org/map/vessel/0ef84024d-da6b-a49e-301d-cee9a9fc8ea3?&start=2025-05-24&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/432907000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
SHINMEI MARU,432761000,9594107,JPN,JD3068,145,38.86,2010,SYORYO MARU NO. 7,drifting_longlines,"KESENNUMA, MIYAGI",JAPAN, ,KESENNUMA KANAE GYOGYO KK,,KESENNUMA KANAE GYOGYO KK,KESENNUMA KANAE GYOGYO KK, ,,,,,,,,FALSE,2025-05-19T02:21:00Z,14.88,JPN,KESENNUMA,FALSE,TRUE,TRUE,TRUE,0,5,7,https://globalfishingwatch.org/map/vessel/d8433aace-e861-3f6c-4169-0678258b15e7?&start=2025-05-17&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/432761000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
EIHOUMARU NO31,431900028,8889177,JPN,JH3310,177,40.01,1995,KINSEI MARU NO. 8,squid_jigger,"NOTO, ISHIKAWA",JAPAN, ,KINSEI SUISAN,,KINSEI SUISAN,KINSEI SUISAN, ,,,,,,,,FALSE,2025-05-11T00:09:00Z,22.96,JPN,HACHINOHE,TRUE,TRUE,TRUE,TRUE,0,9,12,https://globalfishingwatch.org/map/vessel/334220b6d-df6e-8d43-f2fb-e6745d62efb8?&start=2025-05-09&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/431900028,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
